time,equity
2025-08-15 13:58:51,100015.64648847574
2025-08-15 13:58:52,100011.18537018799
2025-08-15 13:59:01,100004.39010707795
2025-08-15 13:59:15,100000.33728389932
2025-08-15 14:00:16,99987.7619002295
2025-08-15 14:07:27,99985.3303987114
2025-08-18 13:03:12,99981.58559285999
2025-08-18 13:03:12,99987.81868560707
2025-08-18 13:03:12,99984.09560001503
2025-08-18 13:03:13,99986.63008850669
2025-08-18 13:03:17,99969.81711954798
2025-08-18 13:03:23,99981.7258657516
2025-08-18 13:03:41,99973.80492691637
2025-08-18 13:03:47,99971.48936722637
2025-08-18 13:05:21,99970.9604050969
2025-08-18 13:21:41,99971.64927522805
2025-08-18 13:21:41,99972.13455138124
2025-08-18 13:21:42,99980.56146108566
2025-08-18 13:21:43,99980.17353811371
2025-08-18 13:21:44,99980.17890883063
2025-08-18 13:21:44,99980.93488823572
2025-08-18 13:21:46,99981.47942881832
2025-08-18 13:21:59,99982.40903230662
2025-08-18 13:22:04,99982.2650761348
2025-08-18 13:26:13,99982.30315053182
2025-08-18 13:31:29,99985.24611752889
2025-08-18 13:44:32,99984.87017080013
2025-08-18 13:44:32,99982.64596261701
2025-08-18 13:44:32,99982.30825456444
2025-08-18 13:44:32,99981.78497816833
2025-08-18 13:44:32,99982.9976359791
2025-08-18 13:44:32,99980.79397297383
2025-08-18 13:44:41,99980.70790443012
2025-08-18 13:44:47,99981.92672786978
2025-08-18 13:44:50,99982.25551166396
2025-08-18 13:45:01,99982.51094553669
2025-08-18 14:01:26,99982.72373013498
2025-08-18 14:25:27,99982.45524179231
2025-08-18 14:34:10,99982.4273682835
2025-08-20 14:18:48,99920.80837811726
2025-08-20 14:18:48,99835.08529518786
2025-08-20 14:18:50,99822.01723335034
2025-08-20 14:18:51,99820.2340812351
2025-08-20 14:18:51,99783.28380072898
2025-08-20 14:18:51,99787.28716288858
2025-08-20 14:18:51,99795.51185316296
2025-08-20 14:18:59,99800.83616983262
2025-08-20 14:18:59,99800.20553985865
2025-08-20 14:19:07,99801.0090236405
2025-08-20 14:25:01,99801.85517646711
2025-08-20 14:41:00,99803.14249094037
2025-08-21 12:07:32,99806.13122017425
2025-08-21 12:07:32,99798.08206694164
2025-08-21 12:07:32,99810.60168625426
2025-08-21 12:07:32,99809.61675519653
2025-08-21 12:07:33,99819.23036190588
2025-08-21 12:07:33,99816.66383904076
2025-08-21 12:07:36,99815.38518751475
2025-08-21 12:07:51,99808.34392056895
2025-08-21 12:08:06,99813.60835170987
2025-08-21 12:08:57,99809.80770979942
2025-08-21 12:17:29,99816.1114555292
2025-08-21 13:30:47,99814.06837499699
2025-08-21 13:30:47,99811.39987388618
2025-08-21 13:30:48,99810.24781846708
2025-08-21 13:30:53,99809.20762495272
