entry_time,exit_time,duration_minutes,ticker,direction,position_size_usd,weight,influence_score,signal_reason,tweet_snippet,gross_return,net_return,transaction_cost,pnl,capital
2024-11-26 14:26:04,2025-03-13 12:56:32,153990.5,SPY,LONG,7158.1,0.07199151518069495,0.005,sentiment_analysis,RT @realDonaldTrumpI am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress,-0.07909840168173775,-0.07921358810602686,0.8292445212819222,-570.270623065235,99429.72937693476
2024-11-26 14:26:05,2025-03-13 12:56:32,153990.5,TLT,LONG,7141.94,0.07193355445170108,0.005,sentiment_analysis,RT @realDonaldTrumpI am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress,-0.020080321285140503,-0.020195414972263227,0.8231884745885436,-144.44435016642825,99285.28502676832
2024-11-26 14:26:04,2025-03-13 12:56:36,153990.5,USO,LONG,7109.53,0.07160053383430116,0.005,sentiment_analysis,RT @realDonaldTrumpI am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress,0.0013974287311346327,0.0012828678769997509,0.814399297129406,9.119753036306811,99294.40477980464
2024-11-26 14:26:38,2025-03-13 12:56:56,153990.3,IEF,LONG,7137.36,0.07186329935549761,0.005,sentiment_analysis,RT @realDonaldTrumpI am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress,0.0034998409163219672,0.003384859637353171,0.8204631202961028,24.153084091026578,99318.55786389566
2025-03-13 12:56:36,2025-03-31 13:31:52,25955.3,USO,SHORT,5356.2,0.05370040037572587,-0.0015,sentiment_analysis,The Globalist Wall Street Journal has no idea what they are doing or saying. They are owned by the polluted thinking of ,0.07954228300307009,0.07945636236246893,0.45825312460078804,423.7762436040639,99742.33410749973
2025-03-31 13:31:52,2025-04-01 13:56:12,1464.3,USO,LONG,7853.85,0.07876058721773128,0.005,sentiment_analysis,RT @realDonaldTrumpAmerica First Patriot Randy Fine is running to represent the Wonderful People of Florida???s 6th Cong,-0.0029731127197518614,-0.0030991296593002315,0.9899594385093972,-24.34603370296146,99717.98807379676
2025-03-31 13:32:01,2025-04-01 13:56:57,1464.9,DIA,LONG,7875.01,0.07894252791167593,0.005,sentiment_analysis,"RT @realDonaldTrumpJimmy Patronis, Chief Financial Officer and Fire Marshall for the Great State of Florida, is running ",0.004992798847815612,0.00486649080315693,0.9942956716484909,38.308967214017756,99756.29704101078
2025-04-01 13:56:57,2025-04-07 12:30:56,8554.0,DIA,LONG,7812.63,0.07894252791167593,0.005,sentiment_analysis,"Jimmy Patronis, Chief Financial Officer and Fire Marshall for the Great State of Florida, is running an incredible Campa",-0.10021973822489724,-0.10034604626955593,0.9946776532851517,-790.2265456611356,98966.07049534965
2025-03-13 12:56:32,2025-04-07 12:30:56,35974.4,SPY,SHORT,5316.26,0.0539936363855212,-0.0015,sentiment_analysis,The Globalist Wall Street Journal has no idea what they are doing or saying. They are owned by the polluted thinking of ,-0.0944435385981123,-0.09452992841632914,0.4616272785997826,-505.12426697709066,98460.94622837256
2025-03-13 12:56:32,2025-04-07 12:30:56,35974.4,TLT,LONG,6198.4,0.06294186014523842,0.0017499999999999998,sentiment_analysis,The Globalist Wall Street Journal has no idea what they are doing or saying. They are owned by the polluted thinking of ,0.0028799291094373626,0.0027792221332049814,0.6241128652128267,17.223715312581685,98478.16994368513
