time,equity
2025-03-13 12:56:32,99429.72937693476
2025-03-13 12:56:32,99285.28502676832
2025-03-13 12:56:36,99294.40477980464
2025-03-13 12:56:56,99318.55786389566
2025-03-31 13:31:52,99742.33410749973
2025-04-01 13:56:12,99717.98807379676
2025-04-01 13:56:57,99756.29704101078
2025-04-07 12:30:56,98966.07049534965
2025-04-07 12:30:56,98460.94622837256
2025-04-07 12:30:56,98478.16994368513
2025-04-07 12:30:57,97718.02991958462
2025-04-07 12:31:11,97793.06589841182
2025-04-15 14:52:18,97604.62696321098
2025-04-21 13:41:59,97223.72090211904
2025-04-21 13:42:05,97052.4247965795
2025-04-21 13:42:07,97416.29014279823
2025-04-21 13:42:40,97366.91910350062
2025-04-28 12:36:33,98377.38142354334
2025-04-28 12:50:21,98311.0691622718
2025-04-30 13:13:59,98782.77808970043
2025-05-02 12:46:02,99023.05536087861
2025-05-02 12:46:23,98655.71139321261
2025-05-02 12:55:05,98706.53011088322
2025-05-08 14:59:20,98958.96642842995
2025-05-27 13:25:40,99072.61490423325
2025-05-30 12:09:24,99062.89056303822
2025-06-24 13:49:47,99547.0087892103
2025-06-24 14:02:34,99505.20713268103
2025-07-10 14:28:49,99583.55043496758
2025-07-10 14:29:33,99629.97598207952
2025-07-10 14:41:03,99695.69626197049
2025-07-10 14:42:17,99692.120823659
2025-07-10 14:42:18,99696.98797764446
2025-07-10 14:42:18,100210.28115982363
2025-07-10 14:42:32,100203.83260031945
2025-07-18 14:00:13,100275.7723200763
2025-07-23 13:22:15,100173.41264075106
2025-07-30 12:09:21,100786.63271694303
2025-07-30 12:09:32,100767.46077375143
2025-08-04 13:57:00,100260.70254872569
2025-08-04 14:19:50,100269.72052156062
2025-08-04 14:21:33,100268.51428702282
2025-08-04 14:25:32,100250.25266131648
2025-08-04 14:28:20,100250.62439977328
2025-08-04 14:50:57,100134.84243262817
2025-08-08 14:33:58,100260.7134378603
2025-08-08 14:34:37,100219.6149639054
2025-08-12 14:20:01,100222.65359871218
2025-09-23 13:51:14,100177.24273402558
2025-10-07 12:52:52,99792.71800273127
2025-10-08 14:57:49,100150.49862869368
2025-10-08 14:58:02,100258.10803093154
2025-10-10 14:57:56,104781.94059646758
2025-10-10 14:57:56,105940.92849525629
2025-10-24 09:30:53,106800.02864039161
2025-10-24 09:30:53,106850.49473241279
2025-10-24 09:30:53,106884.916769337
2025-10-24 09:30:53,106893.04853382548
2025-10-24 09:30:53,108076.49415970169
2025-10-24 09:30:53,107907.9212914577
