time,equity
2025-08-15 13:58:51,100088.79026075883
2025-08-15 13:58:52,100032.43968516107
2025-08-15 13:59:15,100021.78412364003
2025-08-15 14:00:50,100013.14743215013
2025-08-15 14:02:41,100013.37553871829
2025-08-15 14:07:27,100003.10814896572
2025-08-18 13:03:12,99995.98966491698
2025-08-18 13:03:12,100013.21973528992
2025-08-18 13:03:13,100040.09941948348
2025-08-18 13:03:23,100136.05061077751
2025-08-18 13:03:28,100124.83197371871
2025-08-18 13:03:41,100084.21521477817
2025-08-18 13:05:21,100082.93232485886
2025-08-18 13:21:41,100085.46497173673
2025-08-18 13:21:41,100087.02120835669
2025-08-18 13:21:42,100140.83534160341
2025-08-18 13:21:43,100140.07767265583
2025-08-18 13:21:44,100143.14827907128
2025-08-18 13:21:44,100138.8784777634
2025-08-18 13:21:46,100147.1318709331
2025-08-18 13:21:59,100152.62219435736
2025-08-18 13:22:04,100152.11669865654
2025-08-18 13:26:13,100151.91616433725
2025-08-18 13:31:29,100166.49537826657
2025-08-18 13:44:32,100146.11260489337
2025-08-18 13:44:32,100127.01466633134
2025-08-18 13:44:32,100137.13436217664
2025-08-18 13:44:32,100141.44294297494
2025-08-18 13:44:32,100143.73474825201
2025-08-18 13:44:41,100126.25793151448
2025-08-18 13:44:47,100130.59855330296
2025-08-18 13:45:01,100131.33546754408
2025-08-18 13:54:46,100130.21529241973
2025-08-18 14:01:26,100130.44879809012
2025-08-18 14:09:14,100145.03779482015
2025-08-18 14:09:50,100140.79414839024
2025-08-18 14:25:27,100137.45756636425
2025-08-18 14:34:10,100137.06086063279
2025-08-20 14:18:48,99847.72487082893
2025-08-20 14:18:50,99756.79180562728
2025-08-20 14:18:51,99747.24309999858
2025-08-20 14:18:51,99549.4060015017
2025-08-20 14:18:51,99572.7706563685
2025-08-20 14:18:51,99608.66134546917
2025-08-20 14:18:59,99642.59427236974
2025-08-20 14:18:59,99646.99315887896
2025-08-20 14:19:07,99647.4080958548
2025-08-20 14:25:01,99650.65917463345
2025-08-20 14:41:00,99657.8902353105
2025-08-21 12:07:32,99630.65873822992
2025-08-21 12:07:32,99698.94511667542
2025-08-21 12:07:32,99696.44915097069
2025-08-21 12:07:33,99760.07401539931
2025-08-21 12:07:33,99752.5804604503
2025-08-21 12:07:36,99742.92822166054
2025-08-21 12:07:51,99717.9938487633
2025-08-21 12:08:57,99705.18293366717
2025-08-21 12:16:47,99702.64333655397
2025-08-21 13:30:47,99699.24707389646
2025-08-21 13:30:47,99686.85758559835
2025-08-21 13:30:47,99681.40690061974
2025-08-21 13:30:48,99664.65800314194
2025-08-21 13:30:53,99661.75376182715
2025-08-21 13:30:54,99671.53391735036
2025-08-21 13:31:21,99708.39460397925
2025-08-21 13:33:00,99723.94966382514
2025-08-21 13:36:05,99757.65220704785
2025-08-21 13:36:05,99734.52145539357
2025-08-21 13:36:05,99747.38243097527
2025-08-21 13:36:06,99760.4247779046
2025-08-21 13:36:12,99759.9007589316
2025-08-21 13:36:55,99764.37300840215
2025-08-21 13:46:59,99761.05724648772
2025-08-21 13:57:29,99761.26657073546
2025-08-25 12:42:45,100059.46006803248
2025-08-25 12:42:45,100073.5158772993
2025-08-25 12:42:46,100259.03445233338
2025-08-25 12:42:46,100209.96705622505
2025-08-25 12:42:49,100296.56900771466
2025-08-25 12:42:50,100462.57386400604
2025-08-25 12:42:52,100521.84890239313
2025-08-25 12:43:35,100592.52255317182
2025-08-25 12:43:51,100603.86269877534
2025-08-25 12:56:27,100615.38614386803
2025-08-25 13:14:36,100603.56140379423
2025-08-25 13:14:36,100604.41274098585
2025-08-25 13:14:37,100600.08121938833
2025-08-25 13:14:38,100585.15870089807
2025-08-25 13:14:38,100583.24450997083
2025-08-25 13:14:42,100586.66787352016
