time,equity
2025-08-15 13:58:51,100043.52547114147
2025-08-18 13:44:32,100048.07407055753
2025-08-21 13:36:05,100053.4697148619
2025-08-25 12:42:45,100061.37058857673
2025-08-25 13:14:38,100054.04694877336
2025-08-26 14:39:33,100148.65879277997
2025-08-28 14:18:52,100174.49123439893
2025-09-05 13:56:12,99910.11976309627
2025-09-08 13:34:34,99905.08008300194
2025-09-09 13:11:17,99969.64457103837
2025-09-15 12:02:56,100094.61470465906
2025-09-26 14:45:49,100070.69864057876
2025-09-29 12:56:05,100068.13446116136
2025-09-29 13:04:25,100072.02976297581
2025-10-03 14:09:53,100102.50734473932
2025-10-07 12:52:53,101095.22720081541
2025-10-20 14:29:24,102183.47574520599
2025-10-21 13:03:14,102133.9230137708
2025-10-24 11:20:59,102571.69964053798
