time,equity
2025-08-15 13:58:51,100047.13605156034
2025-08-15 13:59:01,100026.94400351348
2025-08-15 14:00:16,99953.85484531293
2025-08-18 13:03:12,99943.102937403
2025-08-18 13:03:12,99930.71191489545
2025-08-18 13:03:17,99857.19294114537
2025-08-18 13:03:41,99805.91534273408
2025-08-18 13:21:41,99806.64832218367
2025-08-18 13:21:43,99804.02419174889
2025-08-18 13:21:44,99803.97146039235
2025-08-18 13:21:59,99806.94208690384
2025-08-18 13:44:32,99804.99630231234
2025-08-18 14:09:15,99815.35064813354
2025-08-18 14:09:18,99814.72781556044
2025-08-18 14:09:40,99809.98430310002
2025-08-20 14:18:48,99497.83617771156
2025-08-20 14:18:51,99297.58229342634
2025-08-20 14:18:51,99494.7778105919
2025-08-20 14:19:07,99299.59968265206
2025-08-21 12:07:32,99315.07591281293
2025-08-21 12:07:33,99310.20627970867
2025-08-21 13:30:47,99303.98464767072
2025-08-21 13:30:47,99297.27241310272
2025-08-21 13:30:53,99295.48025389038
2025-08-21 13:30:54,99301.44938844311
2025-08-21 13:31:21,99310.31173023218
2025-08-21 13:33:00,99326.90633633916
2025-08-21 13:36:05,99340.4040942976
2025-08-21 13:36:05,99345.47738540998
2025-08-21 13:36:06,99347.4116008068
2025-08-21 13:36:55,99349.55223050804
2025-08-25 12:42:45,99495.43637727288
2025-08-25 12:42:45,99513.25079608013
2025-08-25 12:42:46,99548.15609000469
2025-08-25 12:42:50,99610.0744991771
2025-08-25 12:43:35,99659.02395049803
2025-08-25 13:14:36,99658.68407208349
2025-08-25 13:14:37,99656.76334477343
2025-08-26 14:39:31,99564.4436087792
2025-08-26 14:39:33,99703.3704168139
2025-08-26 14:39:36,99696.38321873063
2025-08-26 14:45:57,99698.26466905902
2025-08-27 12:45:25,99704.8233465116
2025-08-27 12:45:25,99718.74231958942
2025-08-27 12:45:25,99740.45810964792
2025-08-27 12:45:36,99700.02979079685
2025-08-28 14:18:52,99762.64497416641
2025-08-28 14:18:53,99765.59705107335
2025-08-28 14:18:59,99941.56373381427
2025-09-05 13:56:12,99924.81988734614
2025-09-05 13:56:13,99913.34712906968
2025-09-05 13:56:18,99912.40434814192
2025-09-05 13:56:21,99910.24835296247
2025-09-05 13:57:17,99976.55973349346
2025-09-08 12:52:26,99987.2873786618
2025-09-08 12:52:29,99977.27971429325
2025-09-08 12:52:32,100026.90233580912
2025-09-08 12:52:33,100019.01993164518
2025-09-08 12:53:13,100039.47324890473
2025-09-08 13:34:34,100024.00450678029
2025-09-08 13:34:37,100024.7300450717
2025-09-08 13:34:40,100025.48694497756
2025-09-08 13:35:10,100017.87812307519
2025-09-08 14:29:21,100052.21696293636
2025-09-08 14:29:22,100052.34099719401
2025-09-08 14:29:28,100077.87897464668
2025-09-08 14:29:38,100090.56465494852
2025-09-08 14:29:43,100101.3498079363
2025-09-08 14:46:13,100095.95472670972
2025-09-09 13:11:17,100300.0698619645
2025-09-09 13:11:17,100255.20772012173
2025-09-09 13:11:18,100316.5364379193
2025-09-09 13:11:23,100300.10719108049
2025-09-15 12:02:56,100361.20597386442
2025-09-15 12:02:56,100671.03435986288
2025-09-15 12:02:58,100694.88786436037
2025-09-15 12:03:05,100748.57993898501
2025-09-15 12:03:06,101105.5066667213
2025-09-15 12:16:06,101106.36935674801
2025-09-15 12:16:07,101094.65684149778
2025-09-15 12:16:16,101085.47046266349
2025-09-23 13:43:01,101060.78855781739
2025-09-23 13:43:01,101103.15951081202
2025-09-23 13:43:05,101235.02985269121
2025-09-25 12:07:05,101197.46853726066
2025-09-25 12:07:05,101122.07676793392
2025-09-25 12:07:05,101159.80054987561
2025-09-25 12:07:06,101256.17742378698
2025-09-25 12:07:09,101117.81088940661
2025-09-26 14:45:49,101054.01510210393
2025-09-26 14:45:53,101095.12778476851
2025-09-26 14:45:54,101174.07098058143
2025-09-29 12:43:31,101158.79178145254
2025-09-29 12:43:32,101350.94476623082
2025-09-29 12:43:33,101126.09023027563
2025-09-29 12:44:10,101188.26125657417
2025-09-29 12:56:05,101165.59505605053
2025-09-29 12:56:05,101176.64956870039
2025-09-29 12:56:05,101171.89820296942
2025-09-29 12:56:54,101165.45713669101
2025-09-29 12:57:45,101162.14631697212
2025-09-29 13:04:25,101169.41320667678
2025-09-29 13:04:28,101169.77175719195
2025-09-29 13:04:42,101178.3455384107
2025-09-29 13:16:44,101150.48091435288
2025-10-02 12:02:36,101158.45412134829
2025-10-03 14:09:53,101229.21895647518
2025-10-03 14:09:53,101329.2637684619
2025-10-03 14:11:04,101230.9206953606
2025-10-07 12:52:52,101285.22698005619
2025-10-07 12:52:52,101250.76692212997
2025-10-07 12:52:55,101134.54843840515
2025-10-07 12:53:22,100999.52243522421
2025-10-08 14:52:19,101960.88812410124
2025-10-08 14:52:20,101976.04628779754
2025-10-08 14:52:21,102082.3881579766
2025-10-08 14:52:33,102075.29796832844
2025-10-08 14:52:45,102131.9953817589
2025-10-08 14:57:46,102133.92477656227
2025-10-08 14:57:47,102132.24957652169
2025-10-08 14:57:47,102088.10960293272
2025-10-08 14:58:00,102086.52459190293
2025-10-08 14:58:21,102085.09826753743
2025-10-10 14:57:56,101394.71689237798
2025-10-10 14:58:01,101289.25248111015
2025-10-10 14:59:48,101112.89698440142
2025-10-13 13:44:47,101162.00934260557
2025-10-13 13:44:48,101466.5502088542
2025-10-13 13:45:07,101687.82047158152
2025-10-13 14:07:34,101736.5560158074
2025-10-20 14:29:24,102615.06643855174
2025-10-20 14:29:24,102695.45104744536
2025-10-20 14:29:25,102771.8828411342
2025-10-20 14:29:28,102788.96975580376
2025-10-20 14:37:08,102751.06543003312
2025-10-21 13:03:14,102693.98217612991
2025-10-21 13:03:14,102726.46900589445
2025-10-21 13:03:15,102747.3988551065
2025-10-21 13:03:38,102798.31018712088
2025-10-24 11:30:04,102845.15310296841
2025-10-24 11:30:04,103009.77248371996
