Method,Total Return (%),Final Capital ($),Number of Trades,Win Rate (%),Avg Return per Trade (%)
sentiment,6.3715246817947335,106371.52468179473,55,58.18181818181818,1.0183489070444742
correlation,4.142368228134131,104142.36822813413,26,61.53846153846154,1.7758131368744392
ensemble,3.187726761340571,103187.72676134057,34,55.88235294117647,1.3711692926408199
multi_timeframe,2.571699640537976,102571.69964053798,19,68.42105263157895,2.375245787945363
embedding,2.3877860620653664,102387.78606206537,33,51.515151515151516,1.239728822167404
bag_of_words,0.4923957880514062,100492.3957880514,26,53.84615384615385,0.4741128623335686
