time,equity
2024-12-06 12:59:09,100079.62587375838
2025-01-06 13:29:21,100617.34221579901
2025-01-17 14:28:35,100209.45272516008
2025-02-19 14:26:56,100470.13466415893
2025-02-20 13:21:46,100471.79079117776
2025-02-26 12:10:34,100093.34372250574
2025-03-04 12:30:31,99859.34939691638
2025-03-14 13:30:08,100034.35284890678
2025-03-17 14:19:08,100397.42501010785
2025-03-27 13:57:38,100223.42497679743
2025-04-07 13:27:17,100281.61767602639
2025-04-23 13:35:24,101074.25164190195
2025-04-24 13:33:55,101404.36251625423
2025-04-24 13:54:24,101431.17547694212
2025-04-28 12:36:31,101494.571528376
2025-04-30 13:45:40,101552.7696735147
2025-05-01 14:05:10,101880.87661805247
2025-05-01 14:10:50,101895.01044145855
2025-05-02 12:46:03,101987.50174652063
2025-05-05 14:06:33,102275.51515527858
2025-05-08 14:59:07,102950.90786167297
2025-05-09 13:41:54,102920.97422534844
2025-05-16 14:07:20,104850.14773497084
2025-05-19 13:11:54,104698.80536976586
2025-05-30 12:09:24,104227.63131190302
2025-06-02 12:13:56,104577.92802908795
2025-06-23 13:39:58,105451.62469118093
2025-06-24 14:07:52,105467.94429668949
2025-07-02 12:40:35,105193.23451227733
2025-07-02 14:52:08,105190.83423845141
2025-07-07 14:46:29,104878.72239239224
2025-07-10 14:37:19,104872.11729227768
2025-07-10 14:55:00,104816.89029592661
2025-07-18 13:54:16,104826.86370189756
2025-07-23 13:08:48,104907.16159780372
2025-07-23 13:19:02,104865.66266559088
2025-08-01 12:51:06,104617.92558930098
2025-08-04 14:19:48,104642.0360499382
2025-08-04 14:25:25,104641.20265813946
2025-08-06 13:35:38,103876.63422847954
2025-08-11 12:11:10,104181.3587085912
2025-08-12 14:16:27,104184.93975610597
2025-08-18 14:09:15,104200.73153169795
2025-08-21 13:30:47,104182.19747838707
2025-08-25 13:14:38,104158.10037604299
2025-09-05 13:56:12,103063.54934314218
2025-09-08 13:34:34,103048.61177241817
2025-09-08 14:29:21,103082.65787721553
2025-09-09 13:11:17,103232.26231486363
2025-09-15 12:02:56,103564.21109700197
2025-09-23 13:43:01,103547.78090991793
2025-09-25 12:07:05,103579.90664177871
2025-10-07 12:52:53,106530.89551903387
2025-10-13 13:44:43,106419.46176590773
2025-10-21 13:03:14,106371.52468179473
