ticker,feature,correlation,abs_correlation,p_value,mutual_info,n_samples
AMD,tweet_embedding_97,-0.7353335785769399,0.7353335785769399,8.984625930507266e-43,1.9510999022678606,244
AMD,tweet_embedding_371,0.7307705604245567,0.7307705604245567,5.200807293654165e-42,2.0272036802387245,244
AMD,tweet_embedding_246,0.7241382313799087,0.7241382313799087,6.266973126949467e-41,2.1900406139082906,244
AMD,tweet_embedding_24,0.7171780393348982,0.7171780393348982,7.907422061043014e-40,2.1322379027684644,244
AMD,tweet_embedding_32,0.6612423960337788,0.6612423960337788,4.741660462644388e-32,1.987273930274289,244
AMD,tweet_embedding_337,-0.6599697223611704,0.6599697223611704,6.816026867333464e-32,2.076640358516351,244
AMD,tweet_embedding_121,-0.6400175488223077,0.6400175488223077,1.6127677825926435e-29,2.110855492683661,244
AMD,tweet_embedding_242,-0.6361804841893264,0.6361804841893264,4.407625048836497e-29,1.9943924977970189,244
AMD,tweet_embedding_96,-0.6277958172300185,0.6277958172300185,3.7774008731926127e-28,2.1105545336021043,244
AMD,tweet_embedding_131,0.6262008736801319,0.6262008736801319,5.642377167173215e-28,2.1517908926892,244
AMD,tweet_embedding_341,-0.625054572877064,0.625054572877064,7.517785789925328e-28,1.9951719559474719,244
AMD,tweet_embedding_65,0.6218043444588578,0.6218043444588578,1.6852520712627084e-27,1.9489971277340687,244
AMD,tweet_embedding_42,0.6217833759858181,0.6217833759858181,1.6939993624046104e-27,1.991596762109725,244
AMD,tweet_embedding_324,0.6162059549837473,0.6162059549837473,6.621920925672172e-27,2.0724563651510737,244
AMD,tweet_embedding_340,0.6130838356248152,0.6130838356248152,1.403744226364023e-26,2.0600761605735505,244
AMD,tweet_embedding_320,-0.6034880918591801,0.6034880918591801,1.3422079030371796e-25,1.959829570221912,244
AMD,tweet_embedding_125,-0.598520394453139,0.598520394453139,4.193282729857791e-25,2.097613142116889,244
AMD,tweet_embedding_221,-0.5887236110448818,0.5887236110448818,3.744692379991004e-24,2.1141816939231157,244
AMD,tweet_embedding_111,-0.5859722298266232,0.5859722298266232,6.834356419472779e-24,1.9643574897274454,244
AMD,tweet_embedding_248,0.5823547920432105,0.5823547920432105,1.4944087738875892e-23,2.0900977600083506,244
AMD,tweet_embedding_116,-0.5816826377164337,0.5816826377164337,1.726383824386617e-23,1.980479543926446,244
AMD,tweet_embedding_pca_0,0.5787549659626282,0.5787549659626282,3.224155641691838e-23,2.173073330986183,244
AMD,tweet_embedding_81,0.5750991259626885,0.5750991259626885,6.972167127225189e-23,2.08142111612944,244
AMD,tweet_embedding_288,-0.5719643992790052,0.5719643992790052,1.3404842319065332e-22,2.1542275603062393,244
AMD,tweet_embedding_87,-0.5712626810429338,0.5712626810429338,1.5502357783112906e-22,1.9543674416145547,244
AMD,tweet_embedding_292,-0.5704784690560742,0.5704784690560742,1.8229628872630554e-22,1.9940387712938143,244
AMD,tweet_embedding_222,-0.5702489622943241,0.5702489622943241,1.9113476966677571e-22,2.02298951657796,244
AMD,tweet_embedding_228,0.5699803287820865,0.5699803287820865,2.0201639423873752e-22,1.9431846910613313,244
AMD,tweet_embedding_pca_26,-0.564054585518011,0.564054585518011,6.76540978063975e-22,2.000071559337603,244
AMD,tweet_embedding_48,0.5564576466632254,0.5564576466632254,3.076310874051667e-21,1.9762335996358806,244
AMD,tweet_embedding_55,0.5523917570192708,0.5523917570192708,6.810842664472633e-21,2.0900170132770435,244
AMD,tweet_embedding_pca_45,0.5502363452120398,0.5502363452120398,1.0334322993906035e-20,2.0467703313764236,244
AMD,tweet_embedding_pca_44,0.5437490601586166,0.5437490601586166,3.5602533398167196e-20,2.02691330290089,244
AMD,tweet_embedding_72,-0.5436373202270884,0.5436373202270884,3.63607053620795e-20,2.1843105220733223,244
AMD,tweet_embedding_pca_6,-0.5419604031975107,0.5419604031975107,4.983812014193384e-20,2.0639858235933186,244
AMD,tweet_embedding_293,-0.5371665247296515,0.5371665247296515,1.2156774139633403e-19,1.9971018109327796,244
AMD,tweet_embedding_172,-0.5336566806220611,0.5336566806220611,2.314533947508198e-19,2.0598087286120403,244
AMD,tweet_embedding_145,0.5266131648782637,0.5266131648782637,8.24018868638848e-19,1.9859509266679738,244
AMD,tweet_embedding_345,0.5255623660923101,0.5255623660923101,9.933775598298658e-19,2.0653839423160583,244
AMD,tweet_embedding_313,0.5239005918344057,0.5239005918344057,1.3332688964380838e-18,1.9984512030032957,244
AMD,tweet_embedding_378,-0.520958494621967,0.520958494621967,2.2360277833095656e-18,1.9830826914958424,244
AMD,tweet_embedding_247,-0.520129522980903,0.520129522980903,2.58438598653077e-18,1.9597471372938453,244
