timestamp,consensus_mid,consensus_micro,ema_estimate,kalman_filter
1763959384.28769,110.77114029255318,108.38408909574467,110.77114029255318,110.77114029255318
1763959404.244169,110.77114029255318,108.38408909574467,110.77114029255318,110.77114029255318
1763959430.2871838,111.20364389375685,108.85514101861993,110.83601583273372,110.95087341012506
1763959430.345247,109.56816575258989,109.56816575258989,110.64583832071213,110.51811177896474
1763962065.7634969,113.7381308945413,113.7381308945413,111.1096822067865,111.35818733501587
1763966420.817973,109.13515484875818,109.13515484875818,110.81350310308224,110.84400798420535
1763967600.098207,112.38356128487467,112.38356128487467,111.0490118303511,111.17255074984756
1763967600.102993,114.48500866551129,113.92006239168113,111.56441135562514,111.842233553174
1763968418.6129138,114.25689733840304,115.14600760456273,111.96828425304182,112.31299117802958
1763968438.61215,112.42022508583784,112.42022508583784,112.03607537796121,112.33339304612609
1763968478.613398,113.72492016482103,114.13254442441412,112.28940209599018,112.59383249220629
1763968488.6128309,112.42022508583784,112.42022508583784,112.30902554446733,112.56169586492453
1763968688.615293,112.42022508583784,112.42022508583784,112.3257054756729,112.53570097981445
1763968718.6139321,113.72492016482103,114.13254442441412,112.53558767904512,112.75313529834307
1763968728.613895,112.42022508583784,112.42022508583784,112.51828329006402,112.69246903334744
1763971882.65345,112.78294117647059,112.78294117647059,112.55798197302501,112.70891899169135
1763972096.000129,114.02274771609275,114.31885453267743,112.77769683448517,112.94744611609066
1763972097.000115,112.99870876531573,112.99870876531573,112.81084862410975,112.95674355661286
1763972847.152641,113.22177601182776,112.2218776566254,112.87248773226744,113.00477974099674
1763972863.552918,113.54849367088607,113.54849367088607,112.97388862306023,113.10328136989422
1763972877.1029088,114.48500866551129,113.92006239168113,113.2005566294279,113.35352526173763
1763975161.583194,113.6332191872579,113.6332191872579,113.26545601310238,113.40417016794846
1763975264.664895,113.62933194154489,113.62933194154489,113.32003740236874,113.44493522864346
1763975998.941779,113.90899946709298,114.40959943156585,113.40838171207739,113.5289453776019
1763976000.16859,113.58649166928639,117.97246934926125,113.43509820565873,113.53936241712802
1763976485.931146,114.0371451699946,111.61249325418241,113.5254052503091,113.62946742237229
1763976510.0271559,112.16502932397869,112.16502932397869,113.32134886135955,113.36439284085495
1763976515.976165,112.80874686716791,111.93937343358395,113.2444585622308,113.26381850244435
1763976538.1338692,111.66331545064378,111.66331545064378,113.00728709549274,112.97412409070589
1763976568.553866,111.69323243243244,111.69323243243244,112.81017889603369,112.74228194625692
1763976569.016608,111.6153012048193,111.6153012048193,112.63094724235152,112.53829890989346
1763976574.274231,111.85447640966628,111.85447640966628,112.51447661744874,112.41452779188366
1763976574.533844,113.06585365853658,113.06585365853658,112.59718317361191,112.53241675825122
1763976589.8737411,112.08313286713287,112.08313286713287,112.52007562764004,112.45109721178457
1763976590.076364,112.98068635461657,112.6867795027431,112.58916723668652,112.54695175047127
1763976595.06223,112.51709589041096,112.51709589041096,112.57835653474518,112.54154790570344
1763976595.852737,112.83901933985572,112.74218054569374,112.61745595551176,112.59538955121144
1763976595.970808,112.400900090009,112.400900090009,112.58497257568634,112.5601874180221
1763976596.0330062,112.99470445110032,112.99470445110032,112.64643235699842,112.63883395685869
1763976596.101224,112.47233243967827,112.47233243967827,112.6203173694004,112.60869758699015
1763976597.034827,112.53250970078803,112.53250970078803,112.60714621910854,112.5949077662121
1763976599.6258602,112.50500000000001,112.50500000000001,112.59182428624226,112.57863468188575
