time,equity
2025-08-04 14:51:01,99961.04542067414
2025-08-08 14:33:59,99992.60091799044
2025-08-08 14:34:37,99916.24710745369
2025-08-12 13:49:36,99897.22316323713
2025-08-12 14:16:27,100005.60379186025
2025-08-12 14:16:28,100088.9570705312
2025-08-12 14:20:01,100093.5314548195
2025-08-12 14:24:10,100089.42880909769
2025-08-12 14:24:10,100083.86966157483
2025-08-12 14:24:18,100079.80732561214
2025-08-12 14:25:15,100074.00630901479
2025-08-12 14:28:52,100075.78040391696
2025-08-18 14:09:14,100084.12611234124
2025-08-25 13:14:51,100115.35155166764
2025-09-23 13:51:14,100014.05943201983
2025-10-07 12:52:52,99344.37012729437
2025-10-08 14:57:47,99952.65642405709
2025-10-08 14:57:49,100704.11400139034
2025-10-08 14:58:02,100891.09263822567
2025-10-24 09:30:53,101223.82361943445
2025-10-24 09:30:53,102007.06048102613
2025-10-24 09:30:53,102083.52969508585
2025-10-24 09:30:53,102202.79796742885
2025-10-24 09:30:53,102309.23819092399
2025-10-24 09:30:53,102327.63438293726
2025-10-24 09:30:53,102053.48198821727
2025-10-24 09:30:53,104049.21146548746
